Najwa already analysed this one.
good data but confusing activation energies
can use to convert date serial number to seconds elapsed


Time(YYYY-MM-DD HH-MM-SS)	 Date Serial Number 	 Potential (Volts)	 Temperature(Cesius)






2.0140506155623e+013	7.357256641550926e+005		1.6006091406108e+002
2.0140506155623e+013	7.357256641550926e+005		1.5972810493059e+002
2.0140506155624e+013	7.357256641666667e+005		1.5939527723732e+002
2.0140506155624e+013	7.357256641666667e+005		1.5890104399919e+002
2.0140506155625e+013	7.357256641782407e+005		1.5857321327262e+002
2.0140506155625e+013	7.357256641782407e+005		1.5825040804763e+002
2.0140506155626e+013	7.357256641898148e+005		1.5792001839857e+002
2.0140506155626e+013	7.357256641898148e+005		1.5759969881789e+002
2.0140506155627e+013	7.357256642013888e+005		1.5728440605360e+002
2.0140506155628e+013	7.357256642129630e+005		1.5696152805697e+002
2.0140506155628e+013	7.357256642129630e+005		1.5648979010177e+002
2.0140506155629e+013	7.357256642245371e+005		1.5617191205211e+002
2.0140506155629e+013	7.357256642245371e+005		1.5585906183696e+002
2.0140506155630e+013	7.357256642361111e+005		1.5554871699754e+002
2.0140506155630e+013	7.357256642361111e+005		1.5523583115820e+002
2.0140506155631e+013	7.357256642476852e+005		1.5492040376413e+002
2.0140506155631e+013	7.357256642476852e+005		1.5460748153328e+002
2.0140506155632e+013	7.357256642592592e+005		1.5412796837202e+002
2.0140506155632e+013	7.357256642592592e+005		1.5380742750427e+002
2.0140506155633e+013	7.357256642708334e+005		1.5349443963314e+002
2.0140506155633e+013	7.357256642708334e+005		1.5318143303022e+002
2.0140506155634e+013	7.357256642824074e+005		1.5287345652205e+002
2.0140506155634e+013	7.357256642824074e+005		1.5257051089306e+002
2.0140506155635e+013	7.357256642939815e+005		1.5226502261361e+002
2.0140506155635e+013	7.357256642939815e+005		1.5181811834749e+002
2.0140506155636e+013	7.357256643055555e+005		1.5152268539124e+002
2.0140506155636e+013	7.357256643055555e+005		1.5122470978148e+002
2.0140506155637e+013	7.357256643171297e+005		1.5092924184785e+002
2.0140506155637e+013	7.357256643171297e+005		1.5063628193561e+002
2.0140506155638e+013	7.357256643287037e+005		1.5034583039119e+002
2.0140506155638e+013	7.357256643287037e+005		1.5005788756210e+002
2.0140506155639e+013	7.357256643402778e+005		1.4962341534950e+002
2.0140506155639e+013	7.357256643402778e+005		1.4934048228120e+002
2.0140506155640e+013	7.357256643518518e+005		1.4905500618436e+002
2.0140506155640e+013	7.357256643518518e+005		1.4878214587674e+002
2.0140506155641e+013	7.357256643634259e+005		1.4850168983705e+002
2.0140506155641e+013	7.357256643634259e+005		1.4821616349186e+002
2.0140506155642e+013	7.357256643750001e+005		1.4794325489682e+002
2.0140506155642e+013	7.357256643750001e+005		1.4751869882384e+002
2.0140506155643e+013	7.357256643865741e+005		1.4720783858191e+002
2.0140506155643e+013	7.357256643865741e+005		1.4690201259579e+002
2.0140506155644e+013	7.357256643981482e+005		1.4661386041999e+002
2.0140506155644e+013	7.357256643981482e+005		1.4632569009447e+002
2.0140506155645e+013	7.357256644097222e+005		1.4604508566384e+002
2.0140506155645e+013	7.357256644097222e+005		1.4576952024251e+002
